game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y
2024-05-16,Ian Happ,664023,683003,0,2,241.62,94.09
2024-07-01,Yordan Alvarez,670541,647315,1,9,87.88,42.91
2024-05-21,Kyle Tucker,663656,472610,1,7,217.94,61.6
2024-08-14,Kerry Carpenter,681481,554340,2,8,230.23,82.09
2024-08-07,Bobby Witt Jr.,677951,670174,2,6,136.4,28.83
2024-04-17,Juan Soto,665742,650893,1,8,203.35,65.58
2024-07-09,Dominic Smith,642086,621053,2,2,238.65,77.1
2024-09-22,Ketel Marte,606466,593423,1,1,201.24,45.5
2024-04-19,DJ Stewart,621466,808967,1,2,183.54,53.36
2024-04-26,Evan Carter,694497,668933,0,2,181.41,45.08
2024-08-31,Jo Adell,666176,693433,0,6,12.54,80
2024-09-10,Fernando Tatis Jr.,665487,669923,1,3,201.3,56.01
2024-08-02,Dylan Carlson,666185,579328,0,1,55.48,73.34
2024-04-02,Bo Naylor,666310,622491,2,4,205.21,65.71
2024-07-02,Pete Alonso,624413,676395,2,10,41.62,66.97
2024-06-05,Carlos Santana,467793,607074,1,6,207.35,73.86
2024-08-09,Isaac Paredes,670623,676979,1,3,72.39,43.82
2024-07-01,Jose Iglesias,578428,607179,2,10,98.47,40.01
2024-05-12,Mike Ford,645801,676254,0,8,132.64,26.27
2024-07-21,George Springer,543807,672456,1,3,75.06,48.97
2024-06-26,Seiya Suzuki,673548,806185,2,5,154,26.5
2024-05-26,Matt Vierling,663837,647315,1,6,28.36,88.29
2024-10-14,Brayan Rocchio,677587,607074,0,6,23.11,84.73
2024-09-20,Julio Rodríguez,677594,683004,1,7,219.71,81.88
2024-04-05,Jake Meyers,676694,666720,2,8,194.91,70.77
2024-05-21,Bryce Harper,547180,656641,0,6,122.1,28.39
2024-08-09,Stuart Fairchild,656413,683232,1,7,44.46,46.3
2024-09-07,Cedric Mullins,656775,686752,0,6,227.95,86.73
2024-04-30,Josh Naylor,647304,686613,1,1,40.56,95.99
2024-07-10,Paul Goldschmidt,502671,663704,1,9,226.22,101.91
2024-06-21,Austin Riley,663586,607074,2,1,168.39,37.14
2024-06-29,Byron Buxton,621439,663423,2,6,71.42,42.71
2024-06-10,Alex Jackson,656577,669203,2,2,170.33,30.01
2024-07-09,Isaac Paredes,670623,607074,0,1,33.64,73.86
2024-04-03,Jose Altuve,514888,641149,1,7,23.99,77.28
2024-09-04,Taylor Ward,621493,676272,0,5,66.06,49.16
2024-04-11,Bryson Stott,681082,670059,1,7,188.75,48.8
2024-07-07,Bo Naylor,666310,663546,2,6,226.48,82.81
2024-09-08,Eugenio Suárez,553993,623352,0,9,32.15,71.71
2024-08-10,Jorge Soler,624585,683627,2,8,204.48,66.7
